title,release_date,popularity,original_language,overview,genre_ids,adult,pathPoster
The Celebration,1998-06-19,10.91,da,"The family of a wealthy businessman gather to celebrate his 60th birthday. During the course of the party, his eldest son presents a speech that reveals a shocking secret.",[18],False,./posters/The_Celebration_1998.jpg
Cool Hand Luke,1967-11-01,18.4,en,"When petty criminal Luke Jackson is sentenced to two years in a Florida prison farm, he doesn't play by the rules of either the sadistic warden or the yard's resident heavy, Dragline, who ends up admiring the new guy's unbreakable will. Luke's bravado, even in the face of repeated stints in the prison's dreaded solitary confinement cell, ""the box,"" make him a rebel hero to his fellow convicts and a thorn in the side of the prison officers.","[28, 18, 80]",False,./posters/Cool_Hand_Luke_1967.jpg
The Sound of Music,1965-03-29,37.832,en,"In the years before the Second World War, a tomboyish postulant at an Austrian abbey is hired as a governess in the home of a widowed naval captain with seven children, and brings a new love of life and music into the home.","[18, 10751, 10402, 10749]",False,./posters/The_Sound_of_Music_1965.jpg
John Wick: Chapter 4,2023-03-22,131.637,en,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","[28, 53, 80]",False,./posters/John_Wick:_Chapter_4_2023.jpg
Mother,2009-05-28,20.253,ko,"A mother lives quietly with her son. One day, a girl is brutally killed, and the boy is charged with the murder. Now, it's his mother's mission to prove him innocent.","[80, 18, 9648]",False,./posters/Mother_2009.jpg
Azur & Asmar: The Princes' Quest,2006-05-21,10.558,fr,"Raised on tales of a Djinn fairy princess, Azur, a young Frenchman goes to North Africa in search of the sprite, only to discover that his close childhood friend, Asmar, an Arab youth whose mother raised both boys also seeks the genie.","[16, 10751]",False,./posters/Azur_&_Asmar:_The_Princes'_Quest_2006.jpg
The Straight Story,1999-10-15,21.225,en,"A retired farmer and widower in his 70s, Alvin Straight learns one day that his distant brother Lyle has suffered a stroke and may not recover. Alvin is determined to make things right with Lyle while he still can, but his brother lives in Wisconsin, while Alvin is stuck in Iowa with no car and no driver's license. Then he hits on the idea of making the trip on his old lawnmower, thus beginning a picturesque and at times deeply spiritual odyssey.",[18],False,./posters/The_Straight_Story_1999.jpg
Three Steps Above Heaven,2010-12-03,65.537,es,"Story of two young people who belong to different worlds. It is the chronicle of a love improbable, almost impossible but inevitable dragging in a frantic journey they discover the first great love. Babi is a girl from upper-middle class that is educated in goodness and innocence . Hache is a rebellious boy, impulsive, unconscious, has a appetite for risk and danger embodied in endless fights and illegal motorbike races, the limit of common sense","[10749, 18]",False,./posters/Three_Steps_Above_Heaven_2010.jpg
Marriage Italian Style,1964-12-18,10.076,it,"During the bombing of Naples in World War II, a cynical businessman helps a naive prostitute, who spends the next two decades desperate to have him reciprocate her feelings.","[18, 10749, 35]",False,./posters/Marriage_Italian_Style_1964.jpg
All Quiet on the Western Front,2022-10-07,56.858,de,"Paul Baumer and his friends Albert and Muller, egged on by romantic dreams of heroism, voluntarily enlist in the German army. Full of excitement and patriotic fervour, the boys enthusiastically march into a war they believe in. But once on the Western Front, they discover the soul-destroying horror of World War I.","[10752, 36, 18]",False,./posters/All_Quiet_on_the_Western_Front_2022.jpg
L'Eclisse,1962-04-13,8.571,it,"This romantic drama by Michelangelo Antonioni follows the love life of Vittoria, a beautiful literary translator living in Rome. After splitting from her writer boyfriend, Riccardo, Vittoria meets Piero, a lively stockbroker, on the hectic floor of the Roman stock exchange. Though Vittoria and Piero begin a relationship, it is not one without difficulties, and their commitment to one another is tested during an eclipse.","[18, 10749]",False,./posters/L'Eclisse_1962.jpg
Rush,2013-09-02,32.35,en,"In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all.","[18, 28]",False,./posters/Rush_2013.jpg
Who's Afraid of Virginia Woolf?,1966-06-22,15.06,en,"A history professor and his wife entertain a young couple who are new to the university's faculty. As the drinks flow, secrets come to light, and the middle-aged couple unload onto their guests the full force of the bitterness, dysfunction, and animosity that defines their marriage.",[18],False,./posters/Who's_Afraid_of_Virginia_Woolf?_1966.jpg
Red Shoes and the Seven Dwarfs,2019-07-25,30.683,en,"Princes who have been turned into Dwarfs seek the red shoes of a lady in order to break the spell, although it will not be easy.","[16, 14, 18, 10751, 35, 10749]",False,./posters/Red_Shoes_and_the_Seven_Dwarfs_2019.jpg
Manhattan,1979-04-25,11.018,en,Manhattan explores how the life of a middle-aged television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,"[35, 18, 10749]",False,./posters/Manhattan_1979.jpg
The Children's Hour,1961-12-19,11.61,en,An unruly student at a private all-girls boarding school scandalously accuses the two women who run it of having a romantic relationship.,[18],False,./posters/The_Children's_Hour_1961.jpg
The Bridges of Madison County,1995-06-02,23.794,en,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,"[18, 10749]",False,./posters/The_Bridges_of_Madison_County_1995.jpg
Poor Things,2023-12-07,98.98,en,"Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.","[878, 10749, 35]",False,./posters/Poor_Things_2023.jpg
Edward Scissorhands,1990-12-07,65.404,en,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,"[14, 18, 10749]",False,./posters/Edward_Scissorhands_1990.jpg
Sound of Metal,2020-11-20,16.298,en,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew.","[18, 10402]",False,./posters/Sound_of_Metal_2020.jpg
Knockin' on Heaven's Door,1997-02-20,10.735,de,"Two young men, Martin and Rudi, both suffering from terminal cancer, get to know each other in a hospital room. They drown their desperation in tequila and decide to take one last trip to the sea. Drunk and still in pajamas they steal the first fancy car they find, a 60's Mercedes convertible. The car happens to belong to a bunch of gangsters, which immediately start to chase it, since it contains more than the pistol Martin finds in the glove box.","[35, 80]",False,./posters/Knockin'_on_Heaven's_Door_1997.jpg
Philadelphia,1993-12-22,18.474,en,Two competing lawyers join forces to sue a prestigious law firm for AIDS discrimination. As their unlikely friendship develops their courage overcomes the prejudice and corruption of their powerful adversaries.,[18],False,./posters/Philadelphia_1993.jpg
The Sacrifice,1986-05-09,17.144,sv,"Alexander, a journalist, philosopher and retired actor, celebrates a birthday with friends and family when it is announced that nuclear war has begun.",[18],False,./posters/The_Sacrifice_1986.jpg
Harry Potter and the Chamber of Secrets,2002-11-13,138.164,en,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.","[12, 14]",False,./posters/Harry_Potter_and_the_Chamber_of_Secrets_2002.jpg
Back to the Outback,2021-12-03,19.428,en,"Tired of being locked in a reptile house where humans gawk at them like they are monsters, a ragtag group of Australia’s deadliest creatures plot an escape from their zoo to the Outback, a place where they’ll fit in without being judged.","[10751, 16, 12, 35]",False,./posters/Back_to_the_Outback_2021.jpg
Cowboy Bebop: The Movie,2001-09-01,15.024,ja,"The year is 2071. Following a terrorist bombing, a deadly virus is released on the populace of Mars and the government has issued the largest bounty in history, for the capture of whoever is behind it. The bounty hunter crew of the spaceship Bebop; Spike, Faye, Jet and Ed, take the case with hopes of cashing in the bounty. However, the mystery surrounding the man responsible, Vincent, goes deeper than they ever imagined, and they aren't the only ones hunting him.","[28, 16, 878]",False,./posters/Cowboy_Bebop:_The_Movie_2001.jpg
Batman Begins,2005-06-10,52.924,en,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.","[28, 80, 18]",False,./posters/Batman_Begins_2005.jpg
Hotel Rwanda,2004-12-22,22.076,en,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives.","[18, 36, 10752]",False,./posters/Hotel_Rwanda_2004.jpg
Rich in Love,2020-04-30,10.625,pt,"Working incognito at his rich dad's company to test his own merits, Teto falls for Paula and tells her he grew up poor, a lie that spins out of control.","[10749, 35]",False,./posters/Rich_in_Love_2020.jpg
Kwaidan,1965-01-06,17.917,ja,"Taking its title from an archaic Japanese word meaning ""ghost story,"" this anthology adapts four folk tales. A penniless samurai marries for money with tragic results. A man stranded in a blizzard is saved by Yuki the Snow Maiden, but his rescue comes at a cost. Blind musician Hoichi is forced to perform for an audience of ghosts. An author relates the story of a samurai who sees another warrior's reflection in his teacup.","[27, 14, 18]",False,./posters/Kwaidan_1965.jpg
Pride,2014-09-12,11.808,en,"In 1984, a group of LGBT activists decide to raise money to support the National Union of Mineworkers during their lengthy strike. There is only one problem: the Union seems embarrassed to receive their support.","[18, 35]",False,./posters/Pride_2014.jpg
The Incredibles,2004-10-27,75.922,en,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.","[28, 12, 16, 10751]",False,./posters/The_Incredibles_2004.jpg
BPM (Beats per Minute),2017-08-23,10.931,fr,"Paris, in the early 1990s: a group of young activists is desperately tied to finding the cure against an unknown lethal disease. They target the pharmaceutical labs that are retaining potential cures, and multiply direct actions, with the hope of saving their lives as well as the ones of future generations.",[18],False,./posters/BPM_(Beats_per_Minute)_2017.jpg
Monsieur Verdoux,1947-09-26,10.381,en,"The film is about an unemployed banker, Henri Verdoux, and his sociopathic methods of attaining income. While being both loyal and competent in his work, Verdoux has been laid-off. To make money for his wife and child, he marries wealthy widows and then murders them. His crime spree eventually works against him when two particular widows break his normal routine.","[35, 80, 18]",False,./posters/Monsieur_Verdoux_1947.jpg
Fried Green Tomatoes,1991-12-27,23.539,en,"Amidst her own personality crisis, southern housewife Evelyn Couch meets Ninny, an outgoing old woman who tells her the story of Idgie Threadgoode and Ruth Jamison, two young women who experienced hardships and love in Whistle Stop, Alabama in the 1920s.","[18, 35]",False,./posters/Fried_Green_Tomatoes_1991.jpg
Belle,2021-07-16,15.847,ja,"Suzu is a 17-year-old high-school student living in a rural town with her father. Wounded by the loss of her mother at a young age, Suzu one day discovers the massive online world ""U"" and dives into this alternate reality as her avatar, Belle. Before long, all of U's eyes are fixed on Belle, when, suddenly, a mysterious, dragon-like figure appears before her.","[16, 878, 18, 10402]",False,./posters/Belle_2021.jpg
For Love and Gold,1966-04-07,18.9,it,"A group of rogues steal a scroll granting its bearer the property of the land of Aurocastro in Apulia, a province in the south of Italy. They elect a shaggy knight, Brancaleone from Norcia, as their leader, and decide to get possession of this supposedly wealthy land. Many adventures will occurr during the journey.","[35, 12]",False,./posters/For_Love_and_Gold_1966.jpg
Hiroshima Mon Amour,1959-06-10,10.173,fr,"The deep conversation between a Japanese architect and a French actress forms the basis of this celebrated French film, considered one of the vanguard productions of the French New Wave. Set in Hiroshima after the end of World War II, the couple -- lovers turned friends -- recount, over many hours, previous romances and life experiences. The two intertwine their stories about the past with pondering the devastation wrought by the atomic bomb dropped on the city.","[18, 36, 10749]",False,./posters/Hiroshima_Mon_Amour_1959.jpg
Tetris,2023-03-15,23.303,en,"In 1988, American video game salesman Henk Rogers discovers the video game Tetris. When he sets out to bring the game to the world, he enters a dangerous web of lies and corruption behind the Iron Curtain.","[53, 36, 18]",False,./posters/Tetris_2023.jpg
Don't Blame the Kid,2016-05-13,20.681,es,"After a one-night stand results in pregnancy, a young woman decides to become partners with the emotionally immature father-to-be.","[35, 10749]",False,./posters/Don't_Blame_the_Kid_2016.jpg
Holding the Man,2015-08-27,9.572,en,"Tim and John fell in love while teenagers at their all-boys high school. John was captain of the football team, Tim an aspiring actor playing a minor part in Romeo and Juliet. Their romance endured for 15 years in the face of everything life threw at it – the separations, the discrimination, the temptations, the jealousies and the losses – until the only problem that love can't solve tried to destroy them.",[18],False,./posters/Holding_the_Man_2015.jpg
Prey,2022-08-02,59.568,en,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.","[53, 28, 878]",False,./posters/Prey_2022.jpg
PK,2014-12-18,15.942,hi,"A stranger in the city asks questions no one has asked before. Known only by his initials, the man's innocent questions and childlike curiosity take him on a journey of love, laughter and letting go.","[35, 18]",False,./posters/PK_2014.jpg
Nightcrawler,2014-10-23,59.7,en,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.","[80, 18, 53]",False,./posters/Nightcrawler_2014.jpg
My Little Pony: A New Generation,2021-09-22,19.111,en,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.","[16, 10751, 14, 35, 12]",False,./posters/My_Little_Pony:_A_New_Generation_2021.jpg
My Night at Maud's,1969-06-04,9.415,fr,"The Catholic Jean-Louis runs into an old friend, the Marxist Vidal, in Clermont-Ferrand around Christmas. Vidal introduces Jean-Louis to the modestly libertine, recently divorced Maud and the three engage in conversation on religion, atheism, love, morality and Blaise Pascal's life and writings on philosophy, faith and mathematics. Jean-Louis ends up spending a night at Maud's. Jean-Louis' Catholic views on marriage, fidelity and obligation make his situation a dilemma, as he has already, at the very beginning of the film, proclaimed his love for a young woman whom, however, he has never yet spoken to.","[10749, 35, 18]",False,./posters/My_Night_at_Maud's_1969.jpg
Cousins,2019-12-10,12.032,pt,"Lucas is a young man who lives with his religious aunt Lourdes in a quiet country town. He helps his aunt by holding religious meetings with the ladies of the area, in the living room, playing biblical songs on the keyboard. This quiet life will end as soon as the charitable aunt communicates the arrival of another nephew, Mario, just out of jail. The clash of reality between the cousins ends up causing unusual situations, and an unexpected attraction among the boys.","[35, 10749, 18]",False,./posters/Cousins_2019.jpg
Fiddler on the Roof,1971-11-03,16.223,en,"In a pre-revolutionary Russia, a poor Jewish milkman struggles with the challenges of a changing world as his daughters fall in love and antisemitism grows.","[18, 10749]",False,./posters/Fiddler_on_the_Roof_1971.jpg
Dreams,1990-05-11,10.435,ja,A collection of magical tales based upon the actual dreams of director Akira Kurosawa.,"[14, 18]",False,./posters/Dreams_1990.jpg
The Maltese Falcon,1941-10-18,16.99,en,"A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.","[9648, 80, 53]",False,./posters/The_Maltese_Falcon_1941.jpg
White Snake,2019-01-11,27.198,zh,"One day a young woman named Blanca is saved by Xuan, a snake catcher from a nearby village. She has lost her memory, and together they go on a journey to discover her real identity, developing deeper feelings for one another along the way. But as they learn more about her past, they uncover a darker plot of supernatural forces vying for power, with the fate of the world hanging in the balance.","[10749, 16, 14]",False,./posters/White_Snake_2019.jpg
Rurouni Kenshin Part III: The Legend Ends,2014-09-13,18.713,ja,"Shishio sets sail in his ironclad ship to bring down the government. In order to stop him, Kenshin trains with his old master to learn his final technique.","[28, 12, 14]",False,./posters/Rurouni_Kenshin_Part_III:_The_Legend_Ends_2014.jpg
Day & Night,2010-06-17,7.569,en,"When Day, a sunny fellow, encounters Night, a stranger of distinctly darker moods, sparks fly! Day and Night are frightened and suspicious of each other at first, and quickly get off on the wrong foot. But as they discover each other's unique qualities--and come to realize that each of them offers a different window onto the same world-the friendship helps both to gain a new perspective.","[16, 10751, 35]",False,./posters/Day_&_Night_2010.jpg
Kabhi Khushi Kabhie Gham,2001-12-14,17.281,hi,"Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.","[35, 18]",False,./posters/Kabhi_Khushi_Kabhie_Gham_2001.jpg
"Duck, You Sucker",1971-10-29,18.362,it,"At the beginning of the 1913 Mexican Revolution, greedy bandit Juan Miranda and idealist John H. Mallory, an Irish Republican Army explosives expert on the lam from the British, fall in with a band of revolutionaries plotting to strike a national bank. When it turns out that the government has been using the bank as a hiding place for illegally detained political prisoners -- who are freed by the blast -- Miranda becomes a revolutionary hero against his will.",[37],False,"./posters/Duck,_You_Sucker_1971.jpg"
Divines,2016-08-31,6.087,fr,"In a ghetto where religion and drug trafficking rub shoulders, Dounia has a lust for power and success. Supported by Maimouna, her best friend, she decides to follow in the footsteps of Rebecca, a respected dealer. But her encounter with Djigui, a young, disturbingly sensual dancer, throws her off course.",[18],False,./posters/Divines_2016.jpg
The Ox-Bow Incident,1942-12-03,8.952,en,A posse discovers a trio of men they suspect of murder and cow theft and are split between handing them over to the law or lynching them on the spot.,"[37, 18]",False,./posters/The_Ox-Bow_Incident_1942.jpg
Constantine: City of Demons - The Movie,2018-10-04,16.873,en,"A decade after a tragic mistake, family man Chas Chandler and occult detective John Constantine set out to cure his daughter Trish from a mysterious supernatural coma.","[14, 16, 27, 28]",False,./posters/Constantine:_City_of_Demons_-_The_Movie_2018.jpg
The Broken Circle Breakdown,2012-10-09,12.015,nl,The loss of their young daughter threatens to destroy the love and faith of two married musicians.,[18],False,./posters/The_Broken_Circle_Breakdown_2012.jpg
Fallen Angels,1995-09-06,32.326,cn,"An assassin goes through obstacles as he attempts to escape his violent lifestyle despite the opposition of his partner, who is secretly attracted to him.","[28, 10749, 80]",False,./posters/Fallen_Angels_1995.jpg
"Germany, Year Zero",1948-12-01,7.361,it,"In the ruins of post-WWII Berlin, a twelve-year-old boy is left to his own devices in order to help provide for his family.",[18],False,"./posters/Germany,_Year_Zero_1948.jpg"
The Killer,2022-07-13,40.665,ko,"When retired hitman’s wife goes on vacation with her friend, she asks him to look after the friend's teenage daughter. Things go awry when he is forced to use a little violence to protect the girl from juvenile delinquents, but then they are found dead and the girl is kidnapped.","[28, 80, 53]",False,./posters/The_Killer_2022.jpg
The Outlaws,2017-10-03,33.201,ko,"In Chinatown, law and order is turned upside down when a trio of feral Chinese gangsters arrive, start terrorizing civilians, and usurping territory. The beleaguered local gangsters team up with the police, lead by the badass loose cannon Ma Seok-do, to bring them down. Based on a true story.","[28, 80, 53]",False,./posters/The_Outlaws_2017.jpg
Jean de Florette,1986-08-27,10.881,fr,"In a rural French village, an old man and his only remaining relative cast their covetous eyes on an adjoining vacant property. They need its spring water for growing their flowers, and are dismayed to hear that the man who has inherited it is moving in. They block up the spring and watch as their new neighbour tries to keep his crops watered from wells far afield through the hot summer. Though they see his desperate efforts are breaking his health and his wife and daughter's hearts, they think only of getting the water.",[18],False,./posters/Jean_de_Florette_1986.jpg
The Trial of the Chicago 7,2020-09-25,16.766,en,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,"[18, 36]",False,./posters/The_Trial_of_the_Chicago_7_2020.jpg
Little Miss Sunshine,2006-07-26,21.367,en,"A family loaded with quirky, colorful characters piles into an old van and road trips to California for little Olive to compete in a beauty pageant.","[35, 18]",False,./posters/Little_Miss_Sunshine_2006.jpg
Descendants 3,2019-08-02,39.634,en,The teenagers of Disney's most infamous villains return to the Isle of the Lost to recruit a new batch of villainous offspring to join them at Auradon Prep.,"[10751, 10770, 12, 14]",False,./posters/Descendants_3_2019.jpg
Maudie,2016-06-16,11.219,en,Canadian folk artist Maud Lewis falls in love with a fishmonger while working for him as a live-in housekeeper.,"[18, 10749]",False,./posters/Maudie_2016.jpg
Spirit: Stallion of the Cimarron,2002-05-24,60.063,en,A captured mustang remains determined to return to his herd no matter what.,"[16, 12, 10751, 18, 37, 10749]",False,./posters/Spirit:_Stallion_of_the_Cimarron_2002.jpg
The Turin Horse,2011-03-31,9.613,hu,A monumental windstorm and an abused horse's refusal to work or eat signal the beginning of the end for a poor farmer and his daughter.,[18],False,./posters/The_Turin_Horse_2011.jpg
Stalag 17,1953-05-29,9.53,en,"It's a dreary Christmas 1944 for the American POWs in Stalag 17 and the men in Barracks 4, all sergeants, have to deal with a grave problem—there seems to be a security leak.","[35, 18, 10752]",False,./posters/Stalag_17_1953.jpg
Cléo from 5 to 7,1962-04-11,12.119,fr,"Agnès Varda eloquently captures Paris in the sixties with this real-time portrait of a singer set adrift in the city as she awaits test results of a biopsy. A chronicle of the minutes of one woman’s life, Cléo from 5 to 7 is a spirited mix of vivid vérité and melodrama, featuring a score by Michel Legrand and cameos by Jean-Luc Godard and Anna Karina.",[18],False,./posters/Cléo_from_5_to_7_1962.jpg
Boys,2014-01-08,10.557,nl,Two teen track stars discover first love as they train for the biggest relay race of their young lives.,"[18, 10749]",False,./posters/Boys_2014.jpg
Marcel the Shell with Shoes On,2022-06-24,21.141,en,"Marcel is an adorable one-inch-tall shell who ekes out a colorful existence with his grandmother Connie and their pet lint, Alan. Once part of a sprawling community of shells, they now live alone as the sole survivors of a mysterious tragedy. When a documentarian discovers them amongst the clutter of his Airbnb, his resulting short film brings Marcel millions of passionate fans, as well as unprecedented dangers and a new hope at finding his long-lost family.","[16, 35, 18, 10751]",False,./posters/Marcel_the_Shell_with_Shoes_On_2022.jpg
The Holdovers,2023-10-27,51.699,en,"A curmudgeonly instructor at a New England prep school is forced to remain on campus during Christmas break to babysit the handful of students with nowhere to go. Eventually, he forms an unlikely bond with one of them — a damaged, brainy troublemaker — and with the school’s head cook, who has just lost a son in Vietnam.","[35, 18]",False,./posters/The_Holdovers_2023.jpg
If Anything Happens I Love You,2020-03-07,8.212,en,"In this Oscar-winning short film, grieving parents journey through an emotional void as they mourn the loss of a child after a tragic school shooting.","[18, 16]",False,./posters/If_Anything_Happens_I_Love_You_2020.jpg
The Martian,2015-09-30,47.085,en,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.","[18, 12, 878]",False,./posters/The_Martian_2015.jpg
Black Swan,2010-12-03,58.39,en,"The story of Nina, a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her retired ballerina mother Erica who zealously supports her daughter's professional ambition. When artistic director Thomas Leroy decides to replace prima ballerina Beth MacIntyre for the opening production of their new season, Swan Lake, Nina is his first choice.","[18, 53, 27]",False,./posters/Black_Swan_2010.jpg
The Man from Nowhere,2010-08-04,25.823,ko,An ex-special agent is involved in a convoluted drug ring drama. He has to save a drug smuggler's innocent daughter from being the victim of her parents' fight.,"[28, 53, 80]",False,./posters/The_Man_from_Nowhere_2010.jpg
Fireworks,1997-10-30,12.668,ja,"Detective Nishi is relieved from a stakeout to visit his sick wife in hospital. He is informed that she is terminally ill, and is advised to take her home. During his visit, a suspect shoots one detective dead and leaves Nishi's partner, Horibe, paralyzed. Nishi leaves the police force to spend time with his wife at home, and must find a way to pay off his debts to the yakuza.","[80, 18]",False,./posters/Fireworks_1997.jpg
A Charlie Brown Christmas,1965-12-09,12.475,en,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but it is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.","[16, 10751, 35, 10770]",False,./posters/A_Charlie_Brown_Christmas_1965.jpg
The Searchers,1956-05-16,19.015,en,"As a Civil War veteran spends years searching for a young niece captured by Indians, his motivation becomes increasingly questionable.",[37],False,./posters/The_Searchers_1956.jpg
Harry Potter and the Half-Blood Prince,2009-07-15,99.357,en,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.","[12, 14]",False,./posters/Harry_Potter_and_the_Half-Blood_Prince_2009.jpg
Moonrise Kingdom,2012-05-16,16.009,en,"Set on an island off the coast of New England in the summer of 1965, Moonrise Kingdom tells the story of two twelve-year-olds who fall in love, make a secret pact, and run away together into the wilderness. As various authorities try to hunt them down, a violent storm is brewing off-shore – and the peaceful island community is turned upside down in more ways than anyone can handle.","[35, 18, 10749]",False,./posters/Moonrise_Kingdom_2012.jpg
Brief Encounter,1945-11-24,9.315,en,"Returning home from a shopping trip to a nearby town, bored suburban housewife Laura Jesson is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey. Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love.","[18, 10749]",False,./posters/Brief_Encounter_1945.jpg
Charade,1963-12-01,21.647,en,"After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines.","[35, 9648, 10749]",False,./posters/Charade_1963.jpg
Bacurau,2019-08-29,8.516,pt,"Bacurau, a small town in the Brazilian sertão, mourns the loss of its matriarch, Carmelita, who lived to be 94. Days later, its inhabitants notice that their community has vanished from most maps.","[9648, 37, 53]",False,./posters/Bacurau_2019.jpg
Tangerines,2013-10-16,7.885,et,"War in Abkhazia, 1992. An Estonian man Ivo has stayed behind to harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo is forced to take him in.","[18, 10752]",False,./posters/Tangerines_2013.jpg
Inherit the Wind,1960-07-07,11.367,en,"Schoolteacher Bertram Cates is arrested for teaching his students Darwin's theory of evolution. The case receives national attention and one of the newspaper reporters, E.K. Hornbeck, arranges to bring in renowned defense attorney and atheist Henry Drummond to defend Cates. The prosecutor, Matthew Brady is a former presidential candidate, famous evangelist, and old adversary of Drummond.",[18],False,./posters/Inherit_the_Wind_1960.jpg
The Gentlemen,2020-01-01,41.983,en,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","[28, 80, 35]",False,./posters/The_Gentlemen_2020.jpg
Embrace of the Serpent,2015-05-25,8.49,es,"The epic story of the first contact, encounter, approach, betrayal and, eventually, life-transcending friendship, between Karamakate, an Amazonian shaman, last survivor of his people, and two scientists that, over the course of 40 years, travel through the Amazon in search of a sacred plant that can heal them. Inspired by the journals of the first explorers of the Colombian Amazon, Theodor Koch-Grunberg and Richard Evans Schultes.","[18, 12]",False,./posters/Embrace_of_the_Serpent_2015.jpg
Shottas,2002-02-27,18.459,en,"A raw urban drama about two friends raised on the dangerous streets of Kingston, Jamaica. Biggs and Wayne take on the ""Shotta"" way of life to survive. As young boys, they begin a life of crime, eventually moving to the US where they begin a ruthless climb from the bottom. They remain bound to each other by their shottas loyalty as they aggressively take control of the Jamaican underworld.","[28, 12, 80, 18]",False,./posters/Shottas_2002.jpg
The Princess Bride,1987-09-25,33.269,en,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.","[12, 10751, 14, 35, 10749]",False,./posters/The_Princess_Bride_1987.jpg
