title,release_date,popularity,original_language,overview,genre_ids,adult,pathPoster
Cinema Paradiso,1988-11-17,38.017,it,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.","[18, 10749]",False,./posters/Cinema_Paradiso_1988.jpg
Fight Club,1999-10-15,130.078,en,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",[18],False,./posters/Fight_Club_1999.jpg
Impossible Things,2021-06-17,11.491,es,"After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.","[10751, 18]",False,./posters/Impossible_Things_2021.jpg
A Dog's Will,2000-09-15,12.095,pt,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.","[35, 18, 14]",False,./posters/A_Dog's_Will_2000.jpg
City of God,2002-08-30,42.886,pt,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.","[18, 80]",False,./posters/City_of_God_2002.jpg
Psycho,1960-06-22,44.124,en,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.","[27, 53, 9648]",False,./posters/Psycho_1960.jpg
Once Upon a Time in America,1984-05-23,47.177,en,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","[18, 80]",False,./posters/Once_Upon_a_Time_in_America_1984.jpg
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,148.159,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","[12, 14, 28]",False,./posters/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring_2001.jpg
One Flew Over the Cuckoo's Nest,1975-11-19,63.287,en,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",[18],False,./posters/One_Flew_Over_the_Cuckoo's_Nest_1975.jpg
Gabriel's Inferno,2020-05-29,15.411,en,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.","[10749, 18]",False,./posters/Gabriel's_Inferno_2020.jpg
